osquery> SELECT count(1) as num,filetype,path FROM process_memory_map where path != '' GROUP BY path ORDER BY num DESC;
+-----+----------+---------------------------------------------------------------------------------------------------------------------------------------------+
| num | filetype | path                                                                                                                                        |
| 28  | file     | C:\WINDOWS\SYSTEM32\certca.dll                                                                                                              |
| 28  | file     | C:\WINDOWS\SYSTEM32\icuuc.dll                                                                                                               |
| 28  | file     | C:\WINDOWS\System32\WINSTA.dll                                                                                                              |
| 28  | file     | C:\WINDOWS\WinSxS\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.17763.437_none_05b63dca071e5dd6\comctl32.DLL                 |
| 28  | file     | C:\WINDOWS\system32\d3d11.dll                                                                                                               |
| 28  | file     | C:\WINDOWS\system32\twinapi.appcore.dll                                                                                                     |
| 28  | file     | C:\Windows\System32\CoreUIComponents.dll                                                                                                    |
| 28  | file     | C:\Windows\System32\WININET.dll                                                                                                             |
| 27  | file     | C:\WINDOWS\system32\mlang.dll                                                                                                               |
| 27  | file     | C:\Windows\System32\msxml6.dll                                                                                                              |
| 27  | file     | c:\windows\system32\iertutil.dll                                                                                                            |
| 26  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\System.Core\47ae9530b703ae950145b2e9b10d587e\System.Core.ni.dll                              |
| 25  | file     | C:\WINDOWS\SYSTEM32\DEVOBJ.dll                                                                                                              |
| 25  | file     | C:\WINDOWS\SYSTEM32\TOKENBINDING.dll                                                                                                        |
| 25  | file     | C:\WINDOWS\SYSTEM32\WLDP.DLL                                                                                                                |
| 25  | file     | C:\WINDOWS\SYSTEM32\XmlLite.dll                                                                                                             |
| 25  | file     | C:\WINDOWS\SYSTEM32\sppc.dll                                                                                                                |
| 25  | file     | C:\WINDOWS\SYSTEM32\winmmbase.dll                                                                                                           |
| 25  | file     | C:\WINDOWS\System32\DAVHLPR.dll                                                                                                             |
| 25  | file     | C:\WINDOWS\System32\PROPSYS.dll                                                                                                             |
| 25  | file     | C:\WINDOWS\System32\SHLWAPI.dll                                                                                                             |
| 25  | file     | C:\WINDOWS\System32\WLDAP32.dll                                                                                                             |
| 25  | file     | C:\WINDOWS\System32\drprov.dll                                                                                                              |
| 25  | file     | C:\WINDOWS\System32\fwpuclnt.dll                                                                                                            |
| 25  | file     | C:\WINDOWS\System32\ntlanman.dll                                                                                                            |
| 25  | file     | C:\WINDOWS\WinSxS\amd64_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.17763.437_none_36a130af61b0d7a4\gdiplus.dll                          |
| 25  | file     | C:\Windows\System32\InputHost.dll                                                                                                           |
| 25  | file     | C:\Windows\System32\PROPSYS.dll                                                                                                             |
| 25  | file     | C:\Windows\System32\TextInputFramework.dll                                                                                                  |
| 25  | file     | C:\Windows\System32\Windows.Web.Http.dll                                                                                                    |
| 25  | file     | C:\Windows\System32\biwinrt.dll                                                                                                             |
| 24  | file     | C:\Program Files\Git\git-bash.exe                                                                                                           |
| 24  | file     | C:\WINDOWS\SYSTEM32\Cabinet.dll                                                                                                             |
| 24  | file     | C:\WINDOWS\SYSTEM32\MMDevAPI.DLL                                                                                                            |
| 24  | file     | C:\WINDOWS\SYSTEM32\StateRepository.Core.dll                                                                                                |
| 24  | file     | C:\WINDOWS\SYSTEM32\WindowsCodecs.dll                                                                                                       |
| 24  | file     | C:\WINDOWS\System32\SspiCli.dll                                                                                                             |
| 24  | file     | C:\WINDOWS\System32\Windows.Storage.dll                                                                                                     |
| 24  | file     | C:\WINDOWS\System32\urlmon.dll                                                                                                              |
| 24  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\System.Xml\ee5d65a622ca43b2fd11abe89c05d1a3\System.Xml.ni.dll                                |
| 24  | file     | C:\Windows\System32\Bcp47Langs.dll                                                                                                          |
| 24  | file     | C:\Windows\System32\StartTileData.dll                                                                                                       |
| 24  | file     | C:\Windows\System32\dxgi.dll                                                                                                                |
| 24  | file     | C:\Windows\System32\msvcp110_win.dll                                                                                                        |
| 22  | file     | C:\WINDOWS\SYSTEM32\dbgeng.dll                                                                                                              |
| 22  | file     | C:\WINDOWS\SysWOW64\MSHTML.dll                                                                                                              |
| 21  | file     | C:\WINDOWS\SYSTEM32\WINSTA.dll                                                                                                              |
| 21  | file     | C:\WINDOWS\SYSTEM32\winsta.dll                                                                                                              |
| 21  | file     | C:\WINDOWS\System32\CoreUIComponents.dll                                                                                                    |
| 20  | file     | C:\Program Files\Git\usr\bin\bash.exe                                                                                                       |
| 20  | file     | C:\WINDOWS\SYSTEM32\DSPARSE.dll                                                                                                             |
| 20  | file     | C:\WINDOWS\SYSTEM32\MFPlat.DLL                                                                                                              |
| 20  | file     | C:\WINDOWS\SYSTEM32\SAMLIB.dll                                                                                                              |
| 20  | file     | C:\WINDOWS\SYSTEM32\capauthz.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\SYSTEM32\fontgroupsoverride.dll                                                                                                  |
| 20  | file     | C:\WINDOWS\SYSTEM32\globinputhost.dll                                                                                                       |
| 20  | file     | C:\WINDOWS\SYSTEM32\slc.dll                                                                                                                 |
| 20  | file     | C:\WINDOWS\SYSTEM32\winhttp.dll                                                                                                             |
| 20  | file     | C:\WINDOWS\SYSTEM32\wtsapi32.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\System32\SHCORE.dll                                                                                                              |
| 20  | file     | C:\WINDOWS\System32\npmproxy.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\System32\vmhgfs.dll                                                                                                              |
| 20  | file     | C:\WINDOWS\System32\ws2_32.dll                                                                                                              |
| 20  | file     | C:\WINDOWS\system32\RMCLIENT.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\system32\Windows.Storage.Search.dll                                                                                              |
| 20  | file     | C:\WINDOWS\system32\cryptdll.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\system32\dataexchange.dll                                                                                                        |
| 20  | file     | C:\WINDOWS\system32\netapi32.dll                                                                                                            |
| 20  | file     | C:\WINDOWS\system32\svchost.exe                                                                                                             |
| 20  | file     | C:\WINDOWS\system32\twinapi.dll                                                                                                             |
| 20  | file     | C:\Windows\System32\CRYPTBASE.DLL                                                                                                           |
| 20  | file     | C:\Windows\System32\ShellCommonCommonProxyStub.dll                                                                                          |
| 20  | file     | C:\Windows\System32\TileDataRepository.dll                                                                                                  |
| 20  | file     | C:\Windows\System32\USERENV.dll                                                                                                             |
| 20  | file     | C:\Windows\System32\Windows.ApplicationModel.Store.dll                                                                                      |
| 20  | file     | C:\Windows\System32\Windows.CloudStore.dll                                                                                                  |
| 20  | file     | C:\Windows\System32\Windows.Globalization.Fontgroups.dll                                                                                    |
| 20  | file     | C:\Windows\System32\Windows.Security.Authentication.Web.Core.dll                                                                            |
| 20  | file     | C:\Windows\System32\Windows.StateRepositoryClient.dll                                                                                       |
| 20  | file     | C:\Windows\System32\Windows.System.Profile.RetailInfo.dll                                                                                   |
| 20  | file     | C:\Windows\System32\cryptnet.dll                                                                                                            |
| 20  | file     | C:\Windows\System32\cscapi.dll                                                                                                              |
| 20  | file     | C:\Windows\System32\d2d1.dll                                                                                                                |
| 20  | file     | C:\Windows\System32\execmodelclient.dll                                                                                                     |
| 20  | file     | C:\Windows\System32\ieproxy.dll                                                                                                             |
| 20  | file     | C:\Windows\System32\sppc.dll                                                                                                                |
| 19  | file     | C:\Program Files\Git\usr\bin\vim.exe                                                                                                        |
| 18  | file     | C:\Program Files\Git\usr\bin\mintty.exe                                                                                                     |
| 18  | file     | C:\WINDOWS\SYSTEM32\ESENT.dll                                                                                                               |
| 18  | file     | C:\WINDOWS\SYSTEM32\srvcli.dll                                                                                                              |
| 18  | file     | C:\WINDOWS\SYSTEM32\webservices.dll                                                                                                         |
| 18  | file     | C:\WINDOWS\System32\imagehlp.dll                                                                                                            |
| 18  | file     | C:\WINDOWS\system32\msvcp110_win.dll                                                                                                        |
| 18  | file     | C:\WINDOWS\system32\wpdshext.dll                                                                                                            |
| 18  | file     | C:\Windows\Microsoft.NET\Framework64\v4.0.30319\clr.dll                                                                                     |
| 18  | file     | C:\Windows\System32\SspiCli.dll                                                                                                             |
| 18  | file     | c:\windows\system32\msvcp110_win.dll                                                                                                        |
| 17  | file     | C:\Program Files\VMware\VMware Tools\glib-2.0.dll                                                                                           |
| 17  | file     | C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2019.19031.17720.0_x64__8wekyb3d8bbwe\PhotosApp.Windows.dll                           |
| 17  | file     | C:\WINDOWS\SYSTEM32\winsqlite3.dll                                                                                                          |
| 16  | file     | C:\WINDOWS\System32\MMDevAPI.DLL                                                                                                            |
| 16  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_32\System.Windows.Forms\f91e04eaede69f1b6c40df3ec5a3eb8a\System.Windows.Forms.ni.dll            |
| 16  | file     | C:\WINDOWS\system32\iertutil.dll                                                                                                            |
| 16  | file     | C:\WINDOWS\system32\twinui.dll                                                                                                              |
| 16  | file     | C:\Windows\System32\MLANG.dll                                                                                                               |
| 16  | file     | C:\Windows\System32\SystemSettings.DataModel.dll                                                                                            |
| 16  | file     | C:\Windows\System32\dcomp.dll                                                                                                               |
| 16  | file     | C:\Windows\System32\thumbcache.dll                                                                                                          |
| 15  | file     | C:\WINDOWS\SYSTEM32\LINKINFO.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\MPR.dll                                                                                                                 |
| 15  | file     | C:\WINDOWS\SYSTEM32\NETAPI32.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\PhotoMetadataHandler.dll                                                                                                |
| 15  | file     | C:\WINDOWS\SYSTEM32\RoMetadata.dll                                                                                                          |
| 15  | file     | C:\WINDOWS\SYSTEM32\Secur32.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\SYSTEM32\WINSPOOL.DRV                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\WTSAPI32.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\edputil.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\SYSTEM32\mrt100.dll                                                                                                              |
| 15  | file     | C:\WINDOWS\SYSTEM32\msftedit.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\netutils.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\SYSTEM32\ntshrui.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\SYSTEM32\srpapi.dll                                                                                                              |
| 15  | file     | C:\WINDOWS\SYSTEM32\userenv.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\System32\CRYPTBASE.DLL                                                                                                           |
| 15  | file     | C:\WINDOWS\System32\CoreMessaging.dll                                                                                                       |
| 15  | file     | C:\WINDOWS\System32\DEVOBJ.dll                                                                                                              |
| 15  | file     | C:\WINDOWS\System32\IMM32.dll                                                                                                               |
| 15  | file     | C:\WINDOWS\System32\MPR.dll                                                                                                                 |
| 15  | file     | C:\WINDOWS\System32\OleAut32.dll                                                                                                            |
| 15  | file     | C:\WINDOWS\System32\TextInputFramework.dll                                                                                                  |
| 15  | file     | C:\WINDOWS\System32\UIAnimation.dll                                                                                                         |
| 15  | file     | C:\WINDOWS\System32\XmlLite.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\System32\mswsock.dll                                                                                                             |
| 15  | file     | C:\WINDOWS\System32\winrnr.dll                                                                                                              |
| 15  | file     | C:\WINDOWS\assembly\NativeImages_v4.0.30319_64\Microsoft.B3325a29b#\c868fc9282787aef853f7f835cabf7ce\Microsoft.Build.Framework.ni.dll       |
| 15  | file     | C:\WINDOWS\system32\NLAapi.dll                                                                                                              |
