osquery> SELECT count(1) as num,path FROM process_memory_map GROUP BY path ORDER BY num DESC, path ASC;
+------+-------------------------------------------------------------------------------------+
| num  | path                                                                                |
| 16   | /usr/lib/x86_64-linux-gnu/libFLAC.so.8.3.0                                          |
| 16   | /usr/lib/x86_64-linux-gnu/libGL.so.1.0.0                                            |
| 16   | /usr/lib/x86_64-linux-gnu/libGLX.so.0.0.0                                           |
| 16   | /usr/lib/x86_64-linux-gnu/libGLdispatch.so.0.0.0                                    |
| 16   | /usr/lib/x86_64-linux-gnu/libICE.so.6.3.0                                           |
| 16   | /usr/lib/x86_64-linux-gnu/libSM.so.6.0.1                                            |
| 16   | /usr/lib/x86_64-linux-gnu/libX11-xcb.so.1.0.0                                       |
| 16   | /usr/lib/x86_64-linux-gnu/libasyncns.so.0.3.1                                       |
| 16   | /usr/lib/x86_64-linux-gnu/libboost_system.so.1.65.1                                 |
| 16   | /usr/lib/x86_64-linux-gnu/libboost_thread.so.1.65.1                                 |
| 16   | /usr/lib/x86_64-linux-gnu/libdrm.so.2.4.0                                           |
| 16   | /usr/lib/x86_64-linux-gnu/libebook-contacts-1.2.so.2.0.0                            |
| 16   | /usr/lib/x86_64-linux-gnu/libedata-book-1.2.so.25.0.0                               |
| 16   | /usr/lib/x86_64-linux-gnu/libgstbase-1.0.so.0.1401.0                                |
| 16   | /usr/lib/x86_64-linux-gnu/libgstreamer-1.0.so.0.1401.0                              |
| 16   | /usr/lib/x86_64-linux-gnu/liborc-0.4.so.0.28.0                                      |
| 16   | /usr/lib/x86_64-linux-gnu/libphonenumber.so.7.0                                     |
| 16   | /usr/lib/x86_64-linux-gnu/libprotobuf.so.10.0.0                                     |
| 16   | /usr/lib/x86_64-linux-gnu/libpulse.so.0.20.2                                        |
| 16   | /usr/lib/x86_64-linux-gnu/libsndfile.so.1.0.28                                      |
| 16   | /usr/lib/x86_64-linux-gnu/libvorbisenc.so.2.0.11                                    |
| 16   | /usr/lib/x86_64-linux-gnu/pulseaudio/libpulsecommon-11.1.so                         |
| 15   | /usr/share/locale-langpack/en/LC_MESSAGES/gtk30.mo                                  |
| 15   | /var/cache/fontconfig/04aabc0a78ac019cf9454389977116d2-le64.cache-7                 |
| 15   | /var/cache/fontconfig/0bd3dc0958fa2205aaaa8ebb13e2872b-le64.cache-7                 |
| 15   | /var/cache/fontconfig/0c9eb80ebd1c36541ebe2852d3bb0c49-le64.cache-7                 |
| 15   | /var/cache/fontconfig/0d8c3b2ac0904cb8a57a757ad11a4a08-le64.cache-7                 |
| 15   | /var/cache/fontconfig/14a5e22175779b556eaa434240950366-le64.cache-7                 |
| 15   | /var/cache/fontconfig/16c2fda60d1b4b719f4b3d06fd951d25-le64.cache-7                 |
| 15   | /var/cache/fontconfig/1ac9eb803944fde146138c791f5cc56a-le64.cache-7                 |
| 15   | /var/cache/fontconfig/2171a34dccabdb6bcbbc728186263178-le64.cache-7                 |
| 15   | /var/cache/fontconfig/22368d551a680bfe5a62c02760edf4ea-le64.cache-7                 |
| 15   | /var/cache/fontconfig/3047814df9a2f067bd2d96a2b9c36e5a-le64.cache-7                 |
| 15   | /var/cache/fontconfig/370e5b74bf5dafc30834de68e24a87a4-le64.cache-7                 |
| 15   | /var/cache/fontconfig/3f589640d34b7dc9042c8d453f7c8b9c-le64.cache-7                 |
| 15   | /var/cache/fontconfig/3f7329c5293ffd510edef78f73874cfd-le64.cache-7                 |
| 15   | /var/cache/fontconfig/4794a0821666d79190d59a36cb4f44b5-le64.cache-7                 |
| 15   | /var/cache/fontconfig/49f0de54bdd920fe4f0dfd4cbac43e6b-le64.cache-7                 |
| 15   | /var/cache/fontconfig/4b2eda6bb976bda485cb2176619421d5-le64.cache-7                 |
| 15   | /var/cache/fontconfig/4d9c95eba1cb85bbcf2878543262124a-le64.cache-7                 |
| 15   | /var/cache/fontconfig/4f3e3037c9980c83b53a9351efadef62-le64.cache-7                 |
| 15   | /var/cache/fontconfig/550f3886151c940c12a5ed35f6a00586-le64.cache-7                 |
| 15   | /var/cache/fontconfig/551ecf3b0e8b0bca0f25c0944f561853-le64.cache-7                 |
| 15   | /var/cache/fontconfig/564b2e68ac9bc4e36a6f7f6d6125ec1c-le64.cache-7                 |
| 15   | /var/cache/fontconfig/56cf4f4769d0f4abc89a4895d7bd3ae1-le64.cache-7                 |
